cz_label,mean_airea_posts,mean_pct,mean_per1000
"Aberdeen, SD",1062.9333333333334,0.20386677147332163,34.74274818747839
"Aberdeen, WA",1033.6,0.1569136520969152,20.08599193834404
"Abilene, TX",2452.666666666667,0.16446092003001206,20.117334036819596
"Alamogordo, NM",619.1333333333334,0.17226987881428588,11.782400408291542
"Alamosa, CO",414.73333333333335,0.1781679565031462,34.5576095634881
"Albany, GA",1988.4,0.20141695509405613,32.36701663002545
"Albany, NY",17242.866666666665,0.1947762630963234,106.78403374660564
"Albuquerque, NM",21165.6,0.18947773786953573,66.13481026448673
"Alexandria, LA",1610.4666666666667,0.16703445110701173,16.209623917511998
"Alexandria, MN & Fergus Falls, MN",1927.2666666666667,0.22163268843197562,57.907371085181836
"Alice, TX",450.06666666666666,0.24282092479489686,15.453052326881224
"Allentown, PA",20191.933333333334,0.21414045094737466,63.54183675216194
"Alliance, NE",459.93333333333334,0.15923346084678697,45.57396522281541
"Alpena, MI",534.9333333333333,0.1764448403674849,22.57826089718601
"Alpine, TX",181.2,0.22805142645494653,21.942166831306515
"Alton, IL",4475.133333333333,0.20904815812970384,27.09554555433262
"Altoona, PA",3887.4666666666667,0.1917459016597257,37.13054220258247
"Altus, OK",201.26666666666668,0.18045848105618273,9.401339012663785
"Amarillo, TX",4184.333333333334,0.21694443228465796,39.42368598833315
"Americus, GA",416.06666666666666,0.19813934709129374,18.848823029354318
"Ames, IA",3333,0.22588256705275564,54.60447841455214
"Andalusia, AL & Atmore, AL",770.2666666666667,0.18767718942574083,24.48742901988043
"Andrews, NC",294.66666666666663,0.16744956736671826,12.893702416257902
"Anniston, AL",4404.733333333334,0.2190164257638893,52.788837313747756
"Appleton, WI",13710.133333333335,0.23500815723962987,109.49775659210493
"Ardmore, OK",1769.6666666666665,0.20674549953639706,48.828971978005775
"Asheville, NC",4998.133333333333,0.17740949105324674,28.58543597309638
"Ashland, WI",371.26666666666665,0.21877247543481407,25.10357801855355
"Athens, GA",4341.666666666666,0.19939590551759837,52.032008089207125
"Athens, OH",974.6666666666667,0.19239719673911526,19.96449040221978
"Atlanta, GA",95927.4,0.18699443989151246,203.46602474513296
"Atwood, KS & St. Francis, KS",34.4,0.19644083706239707,13.363811948093991
"Augusta, GA",7777.4,0.21502545242699206,57.06382208108996
"Austin, TX",53307.93333333333,0.1822257740388899,97.92171774625737
"Baker, MT",55.53333333333333,0.2591292317666321,20.455832736631375
"Bakersfield, CA",10919.4,0.22119615311769622,16.178505585442082
"Baltimore, MD",61644.933333333334,0.19546568515355875,123.99974496929094
"Bangor, ME",2615.5333333333333,0.15383162314387228,26.119018297149918
"Bardstown, KY & Campbellsville, KY",851.4666666666667,0.17748563073169538,28.508935508838697
"Bartlesville, OK",1307.8,0.2329994131939991,33.01427824094493
"Batesville, AR",504.73333333333335,0.19049632132434702,18.81828708702195
"Baton Rouge, LA",14172.133333333335,0.22976878143752755,57.167564177686444
"Beaumont, TX & Lake Charles, LA",9724.8,0.24535127965932585,63.48110411021345
"Beckley, WV",1344.6666666666667,0.15720172042801253,26.10693577046402
"Beloit, KS",143.6,0.26078264684437197,31.07927044697716
"Bemidji, MN & Brainerd, MN",1979.6000000000001,0.1678235085801519,44.393081375220476
"Bend, OR",2883.4,0.1925244395220882,21.444210156386063
"Big Stone Gap, VA",324.46666666666664,0.12935234220040795,12.022836054880495
"Billings, MT",4413.733333333334,0.1924862712637047,32.7563842047795
"Binghamton, NY",4473.133333333333,0.19922874433364052,41.93997511178327
"Birmingham, AL",21637.466666666667,0.1958220241516281,65.22725657581145
"Bismarck, ND",3057.4,0.21436413827343323,45.03582835348771
"Bloomington, IN",3531.733333333333,0.2034428008840036,41.55925605584862
"Bluefield, WV",867.8,0.15454052480129724,19.770417051571233
"Blytheville, AR",1026.2666666666667,0.2819770851745126,29.14249835354288
"Boise, ID",18239.8,0.20381524756082825,73.1436342062027
"Boone, NC",633.5333333333333,0.14661066329529931,15.112015469284838
"Boston, MA",132324.93333333332,0.18233476847845975,158.718315978389
"Bowling Green, KY",2950.333333333333,0.21430519650053945,38.52602326313345
"Bowman, ND",83.33333333333333,0.20129381712808897,28.45949347280144
"Bozeman, MT",4068.666666666667,0.19149889530699366,48.95615567453798
"Brady, TX",89.93333333333334,0.25507199597541175,14.860298946554721
"Broken Bow, NE",210.13333333333333,0.29802050018722587,23.00950206153743
"Brookings, OR & Crescent City, CA",258.6,0.12961662136870813,10.091852849501006
"Brookings, SD & Watertown, SD",1564.8666666666668,0.23566608563694194,59.68792489038734
"Brunswick, GA",1537.5333333333333,0.19168699472413495,25.56288294172207
"Buffalo, NY",20671.4,0.19403027318559846,44.50984808739307
"Burley, ID",637.4666666666667,0.258775034474975,28.2843135810191
"Burlington, IA",1594.8,0.23164456895366034,52.01574114424219
"Burlington, NC",3580.5333333333338,0.18663830341745932,34.19111866047918
"Burlington, VT",5546.133333333333,0.1765662984506976,59.73580087069197
"Burns, OR",98.86666666666666,0.29645569266805494,13.46350193046558
"Cadillac, MI",974.4666666666667,0.18653702169895944,31.194797321045392
"Canton, OH",8304.466666666667,0.22226609620524163,38.75693836382737
"Cape Coral, FL",12367.933333333332,0.1570791248279708,27.795820982269824
"Cape Girardeau, MO",1532.1333333333334,0.19095591437440074,29.28417649780338
"Carbondale, IL",1706.4,0.1779025922716057,37.92644392749764
"Carrabelle, FL & Eastpoint, FL",60.93333333333333,0.2125351301149657,4.823870804923082
"Carrington, ND",125.66666666666667,0.28046057189471957,37.925453076605855
