instnm,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,cz_label,pct_airea_completions
Los Angeles Southwest College,849.5714285714287,24.5,6236.571428571428,0,2,"Los Angeles, CA",0.028838069614931894
Los Angeles Trade Technical College,1568.0714285714287,641.3571428571429,13314,0,2,"Los Angeles, CA",0.40901015806495694
Los Angeles Valley College,2254.357142857143,85.5,17324.928571428572,0,2,"Los Angeles, CA",0.03792655492538259
Los Medanos College,1853,406.14285714285717,8767.92857142857,0,2,"San Francisco, CA",0.21918125048184411
Louisiana Delta Community College,1414.7272727272727,573.7272727272727,3642.2727272727275,1,2,"Monroe, LA",0.40553913378743095
Louisiana State University-Eunice,335.2142857142857,0.9285714285714284,3028.8571428571427,1,2,"Lafayette, LA",0.0027700831024930744
Lower Columbia College,848.9285714285714,86.35714285714286,2928.714285714286,0,2,"Portland, OR",0.10172486327303323
Luna Community College,162.78571428571428,12.571428571428571,1303.5714285714287,1,2,"Las Vegas, NM",0.07722685388328214
Lurleen B Wallace Community College,403.5,87.71428571428571,1780.4285714285713,1,2,"Andalusia, AL & Atmore, AL",0.2173836077181802
Luzerne County Community College,784.0714285714286,95.64285714285714,5497.428571428572,0,2,"Scranton, PA",0.12198232668306459
Macomb Community College,3004.714285714286,421.2142857142857,20623.64285714286,0,2,"Detroit, MI",0.1401844720201588
Madison Area Technical College,3142,328.7142857142857,15072.57142857143,0,2,"Madison, WI",0.10461944166590889
Madisonville Community College,993.7857142857143,136.42857142857144,3901,1,2,"Henderson, KY",0.1372816790052469
Manchester Community College,1178.5,164.92857142857142,6016.142857142857,0,2,NA,0.139947875628826
Manhattan Area Technical College,289,102.5,826.7857142857143,1,2,"Manhattan, KS",0.3546712802768166
Marion Technical College,427.35714285714283,41.5,2609.5,1,2,"Mansfield, OH",0.09710847400969413
Marshalltown Community College,335.85714285714283,63.142857142857146,1946,1,2,"Waterloo, IA",0.18800510421097408
Martin Community College,155,34.42857142857143,809.2142857142857,1,2,"Washington, NC",0.22211981566820277
Massachusetts Bay Community College,623.5714285714286,62.857142857142854,4598.142857142857,0,2,"Boston, MA",0.10080183276059565
Massasoit Community College,917.7857142857143,121.42857142857143,6970.142857142857,0,2,"Boston, MA",0.13230601603237604
Mayland Community College,246.85714285714283,70.07142857142858,1017.0714285714287,1,2,"Boone, NC",0.28385416666666674
Maysville Community and Technical College,1446.642857142857,527,3882.5714285714284,1,2,"Maysville, KY",0.3642917098701427
McDowell Technical Community College,242,32.07142857142857,1164.5,1,2,"Hickory, NC",0.13252656434474616
McHenry County College,1388.357142857143,376.14285714285717,7417.5,1,2,"Chicago, IL",0.27092658332047126
McLennan Community College,1421.857142857143,36.214285714285715,8509.357142857143,0,2,"Killeen, TX",0.025469707625841456
Mendocino College,416.92857142857144,36.642857142857146,3867.1428571428573,1,2,"Clearlake, CA & Ukiah, CA",0.08788761350008567
Merced College,1698.6428571428573,196.21428571428572,10603.357142857143,1,2,"Stockton, CA & Modesto, CA",0.11551238383583533
Mercer County Community College,934.3571428571429,54,7658.071428571428,1,2,"Trenton, NJ",0.057793746655454475
Meridian Community College,824.4285714285714,103.21428571428571,3397.6428571428573,1,2,"Meridian, MS",0.12519494021833302
Merritt College,738.3571428571429,48.785714285714285,6511.357142857143,0,2,"San Francisco, CA",0.06607332881880623
Mesa Community College,3860.285714285714,454,20893.928571428572,0,2,"Phoenix, AZ",0.11760787506476204
Mesabi Range College,297,102.66666666666667,1266.5833333333333,1,2,"Duluth, MN",0.34567901234567905
Mesalands Community College,168.64285714285714,83.92857142857143,832.2857142857143,1,2,"Las Vegas, NM",0.4976704786107582
Metropolitan Community College Area,1744,282.85714285714283,15433.5,0,2,"Omaha, NE",0.16218872870249015
Metropolitan Community College-Kansas City,2880.3571428571427,271.92857142857144,14555.42857142857,1,2,"Kansas City, MO",0.09440793552386859
Miami Dade College,12732.642857142857,238.71428571428572,55825.357142857145,0,2,"Miami, FL",0.018748211851427995
Mid Michigan College,601.5,45.357142857142854,4073.5714285714284,1,2,"Saginaw, MI",0.07540672129200807
Mid-Plains Community College,411.2142857142857,61.785714285714285,2302.5,1,2,"North Platte, NE",0.15025186729199236
Mid-State Technical College,825.4285714285714,138.92857142857142,2873.785714285714,1,2,"Wausau, WI",0.16831083419868464
Middlesex College,1558.7142857142858,216.5,11456.857142857143,0,2,"Newark, NJ & Jersey City, NJ",0.13889652644120612
Middlesex Community College,1487.357142857143,145.5,3014.8571428571427,0,2,NA,0.09782452096239734
Midland College,644.2142857142857,97.07142857142857,5384.071428571428,0,2,"Odessa, TX & Midland, TX",0.1506818937797982
Midlands Technical College,1763.4285714285713,267.7142857142857,10446.142857142857,0,2,"Columbia, SC",0.15181464679196371
Miles Community College,125.21428571428571,17.714285714285715,510.2857142857143,1,2,"Miles City, MT",0.14147176269252712
Milwaukee Area Technical College,2615.214285714286,471.85714285714283,15425.714285714286,0,2,"Milwaukee, WI",0.18042771693114465
Mineral Area College,652.3571428571429,32.42857142857143,3433.785714285714,1,2,"Farmington, MO",0.049709843424942515
Minneapolis Community and Technical College,1421.7142857142858,96.5,8036.428571428571,0,2,"Minneapolis, MN",0.06787580385852089
Minnesota North College,413.64285714285717,94,1499,1,2,"Duluth, MN",0.22724917976169917
Minnesota State College Southeast,499.5,106.21428571428571,2087.1428571428573,1,2,"Eau Claire, WI",0.21264121264121263
Minnesota State Community and Technical College,1316.7142857142858,252.71428571428572,6203.285714285715,1,2,"Alexandria, MN & Fergus Falls, MN",0.19192795920581535
Minnesota West Community and Technical College,901.2857142857143,188.71428571428572,3294.285714285714,1,2,"Willmar, MN",0.209383420510382
MiraCosta College,2556.0714285714284,321.2142857142857,13603.285714285714,0,2,"San Diego, CA",0.1256671789856085
Mission College,905.2142857142857,177.07142857142858,7963.142857142857,0,2,"San Jose, CA",0.1956127199558116
Mississippi Delta Community College,503.5,126.14285714285714,2561.4285714285716,1,2,"Greenville, MS",0.2505319903532416
Mississippi Gulf Coast Community College,3090.3571428571427,795.9285714285714,9144.5,1,2,"Gulfport, MS",0.25755229400208024
Missouri State University-West Plains,289.07142857142856,9.214285714285714,1983.5,1,2,"West Plains, MO",0.03187546330615271
Mitchell Community College,590.6428571428571,50.285714285714285,3361.714285714286,1,2,"Charlotte, NC",0.08513725964445519
Mitchell Technical College,460.7857142857143,282.92857142857144,1175.142857142857,1,2,"Mitchell, SD & Huron, SD",0.6140133312664704
Moberly Area Community College,788.6428571428571,29.785714285714285,5164.642857142857,1,2,"Moberly, MO",0.03776831808712979
Modesto Junior College,2216.3571428571427,423.2857142857143,17243.571428571428,0,2,"Stockton, CA & Modesto, CA",0.19098262915337266
Mohave Community College,791.7142857142857,91.07142857142858,4605.928571428572,1,2,"Los Angeles, CA",0.11503067484662578
Mohawk Valley Community College,1058.2142857142858,178,6522.071428571428,0,2,"Syracuse, NY",0.16820789740128247
Monroe Community College,2315.4285714285716,245.5,13314.5,0,2,"Rochester, NY",0.10602788746298124
Monroe County Community College,470.64285714285717,55.92857142857143,3205.714285714286,0,2,"Detroit, MI",0.11883442100470482
Montcalm Community College,368.2857142857143,28.5,1736.7857142857142,1,2,"Saginaw, MI",0.0773855702094647
Monterey Peninsula College,747.7857142857143,76.21428571428571,8116.285714285715,0,2,"San Jose, CA",0.10191995415034863
Montgomery College,2776.4285714285716,229.14285714285714,22818.928571428572,0,2,"Hagerstown, MD & Frederick, MD",0.08253151530743504
Montgomery Community College,294.2857142857143,34.07142857142857,833.8571428571429,1,2,"Fayetteville, NC",0.11577669902912621
Montgomery County Community College,1415.2142857142858,60.785714285714285,10880.07142857143,0,2,"Philadelphia, PA",0.04295159743602685
Moorpark College,3209.9285714285716,440.5,14156,0,2,"Los Angeles, CA",0.13723046796768953
Moraine Park Technical College,1162.2142857142858,308.78571428571433,5185.142857142857,0,2,"Appleton, WI",0.2656874193350132
Moraine Valley Community College,2621,1009.7142857142857,14164.857142857143,0,2,"Chicago, IL",0.3852400937482967
Moreno Valley College,1334.3571428571427,134.35714285714283,9391.642857142857,1,2,"Los Angeles, CA",0.10069054119158503
Morgan Community College,350.07142857142856,40.285714285714285,1577.4285714285713,1,2,"Fort Collins, CO",0.11507855539685778
Morton College,614.3571428571429,123.42857142857143,4460.5,0,2,"Chicago, IL",0.20090687129403556
Motlow State Community College,864.5,66.07142857142857,5742.642857142857,1,2,"Murfreesboro, TN",0.0764273320664298
Mott Community College,1674.5714285714287,218.28571428571428,8315.142857142857,0,2,"Detroit, MI",0.13035318205084456
Mount Wachusett Community College,694.9285714285714,48.57142857142857,3939.3571428571427,1,2,"Boston, MA",0.06989413094871004
Mountain Empire Community College,613.2142857142857,77.85714285714286,2613.3571428571427,1,2,"Big Stone Gap, VA",0.12696563774024464
Mountain Gateway Community College,251.28571428571428,41.642857142857146,1218.9285714285713,1,2,"Covington, VA",0.16571915861284822
Mountain View College,1032,122.1,9694.6,0,2,"Dallas, TX",0.11831395348837209
Mountwest Community and Technical College,640.9285714285714,258.14285714285717,1977.8571428571427,0,2,"Huntington, WV",0.4027638470968461
Mt Hood Community College,1514.4285714285713,179.78571428571428,8175.857142857143,0,2,"Portland, OR",0.11871521554570323
Mt San Antonio College,3424.1428571428573,428.42857142857144,28534.785714285714,0,2,"Los Angeles, CA",0.12511994659768869
Mt San Jacinto Community College District,2297.4285714285716,508.92857142857144,15137,0,2,"Los Angeles, CA",0.22152095510508643
Murray State College,391.85714285714283,6.571428571428571,2388.6428571428573,1,2,"Ardmore, OK",0.016769959897921984
Muskegon Community College,611.1428571428571,42.57142857142857,4320.642857142857,0,2,"Grand Rapids, MI",0.06965871902758299
NHTI-Concord's Community College,684.2142857142857,71.5,3678.285714285714,1,2,"Nashua, NH",0.10449942582733063
Napa Valley College,977.1428571428571,242.78571428571428,5637.357142857143,0,2,"San Francisco, CA",0.24846491228070175
Nash Community College,587,111.57142857142857,3009.1428571428573,1,2,"Rocky Mount, NC & Wilson, NC",0.19007057678267217
