county,CZ,cz_label
21079,221,"Lexington, KY"
22069,244,"Shreveport, LA"
22081,244,"Shreveport, LA"
22001,238,"Lafayette, LA"
23007,248,"Portland, ME"
25015,258,"Springfield, MA"
26095,268,"Sault Ste. Marie, MI"
27097,280,"St. Cloud, MN"
27023,284,"Willmar, MN"
27139,278,"Minneapolis, MN"
27087,279,"Fargo, ND"
28121,299,"Jackson, MS"
28083,301,"Greenwood, MS & Grenada, MS"
29113,160,"St. Louis, MO"
29167,310,"Springfield, MO"
29207,312,"Cape Girardeau, MO"
30013,325,"Great Falls, MT"
30093,331,"Missoula, MT"
30055,337,"Glasgow, MT & Wolf Point, MT"
30059,326,"Bozeman, MT"
30033,334,"County: Garfield Co., MT"
31071,359,"Ord, NE"
31115,359,"Ord, NE"
31075,360,"County: Grant Co., NE"
36053,384,"Syracuse, NY"
36077,383,"Binghamton, NY"
36051,390,"Rochester, NY"
37147,405,"Greenville, NC"
37085,398,"Fayetteville, NC"
37079,405,"Greenville, NC"
37125,398,"Fayetteville, NC"
37023,392,"Hickory, NC"
37021,400,"Asheville, NC"
37093,398,"Fayetteville, NC"
38073,413,"Lisbon, ND & Oakes, ND"
38007,344,"Dickinson, ND"
39101,419,"Mansfield, OH"
40027,437,"Oklahoma City, OK"
42071,462,"Harrisburg, PA & Lancaster, PA"
42043,462,"Harrisburg, PA & Lancaster, PA"
42067,468,"State College, PA"
42027,468,"State College, PA"
42035,466,"Williamsport, PA"
42063,464,"Altoona, PA"
42099,462,"Harrisburg, PA & Lancaster, PA"
45077,470,"Greenville, SC"
45041,474,"Myrtle Beach, SC"
45087,407,"Spartanburg, SC"
46103,479,"Rapid City, SD"
46095,356,"Valentine, NE"
47035,494,"Crossville, TN"
47021,490,"Nashville, TN"
47005,488,"Paris, TN"
47041,492,"Cookeville, TN"
47129,486,"Knoxville, TN"
47185,492,"Cookeville, TN"
47151,486,"Knoxville, TN"
47107,118,"Chattanooga, TN"
47117,487,"Murfreesboro, TN"
47003,487,"Murfreesboro, TN"
48373,498,"Lufkin, TX"
48139,445,"Dallas, TX"
48491,502,"Austin, TX"
48213,497,"Tyler, TX"
48005,498,"Lufkin, TX"
48441,512,"Abilene, TX"
48199,239,"Beaumont, TX & Lake Charles, LA"
48055,502,"Austin, TX"
48063,55,"Texarkana, TX"
48395,506,"College Station, TX"
48223,516,"Greenville, TX & Paris, TX"
48225,497,"Tyler, TX"
48341,379,"Dumas, TX"
48461,376,"Odessa, TX & Midland, TX"
48387,516,"Greenville, TX & Paris, TX"
48383,514,"San Angelo, TX"
48313,522,"Mexia, TX"
49051,536,"Salt Lake City, UT"
49057,536,"Salt Lake City, UT"
49035,536,"Salt Lake City, UT"
51101,544,"Richmond, VA"
51085,544,"Richmond, VA"
51003,542,"Charlottesville, VA"
51019,545,"Lynchburg, VA"
51067,547,"Roanoke, VA"
51015,546,"Harrisonburg, VA"
51113,552,"Culpeper, VA"
51053,544,"Richmond, VA"
51121,547,"Roanoke, VA"
51081,397,"Roanoke Rapids, NC"
53005,460,"Kennewick, WA"
54085,430,"Parkersburg, WV"
54033,566,"Morgantown, WV"
54017,566,"Morgantown, WV"
54043,565,"Charleston, WV"
54001,564,"Elkins, WV"
54007,566,"Morgantown, WV"
55111,574,"Madison, WI"
55107,571,"Rice Lake, WI"
72097,591,"San Germán, PR & Mayagüez, PR"
72031,590,"San Juan, PR"
72113,589,"Ponce, PR"
72039,588,"Arecibo, PR"
72047,590,"San Juan, PR"
72037,590,"San Juan, PR"
72067,591,"San Germán, PR & Mayagüez, PR"
